sp	x	y
Conium_maculatum_Native	-0.47022	52.00307
Conium_maculatum_Native	-4.69964	52.072
Conium_maculatum_Native	-0.46715	52.09296
Conium_maculatum_Native	-3.38692	52.09476
Conium_maculatum_Native	-0.61308	52.09476
Conium_maculatum_Native	-3.24096	52.09639
Conium_maculatum_Native	-3.095	52.09784
Conium_maculatum_Native	-0.17164	52.17867
Conium_maculatum_Native	-0.31784	52.18084
Conium_maculatum_Native	-1.63423	52.19227
Conium_maculatum_Native	-0.46095	52.27272
Conium_maculatum_Native	-0.60748	52.27454
Conium_maculatum_Native	-3.25105	52.45596
Conium_maculatum_Native	-2.2208	52.46237
Conium_maculatum_Native	-2.0736	52.46255
Conium_maculatum_Native	-3.54846	52.54236
Conium_maculatum_Native	-4.14235	52.62302
Conium_maculatum_Native	-3.55803	52.81198
Conium_maculatum_Native	-4.15562	52.89255
Conium_maculatum_Native	-2.81962	52.99919
Conium_maculatum_Native	-3.26922	53.08514
Conium_maculatum_Native	-3.11993	53.08664
Conium_maculatum_Native	-2.97063	53.08795
Conium_maculatum_Native	23.1432	53.1383
Conium_maculatum_Native	10.9154	53.2485
Conium_maculatum_Native	11.082	53.2485
Conium_maculatum_Native	13.0817	53.2485
Conium_maculatum_Native	-3.87402	53.25698
Conium_maculatum_Native	-3.72418	53.25924
Conium_maculatum_Native	-3.57432	53.26132
Conium_maculatum_Native	10.7488	53.3485
Conium_maculatum_Native	10.9154	53.3485
Conium_maculatum_Native	11.082	53.3485
Conium_maculatum_Native	11.582	53.3485
Conium_maculatum_Native	11.7486	53.3485
Conium_maculatum_Native	12.0819	53.3485
Conium_maculatum_Native	12.2485	53.3485
Conium_maculatum_Native	-10.18212	53.43514
Conium_maculatum_Native	10.7488	53.4485
Conium_maculatum_Native	10.9154	53.4485
Conium_maculatum_Native	12.0819	53.4485
Conium_maculatum_Native	12.2485	53.4485
Conium_maculatum_Native	-7.7737	53.54472
Conium_maculatum_Native	13.415	53.5485
Conium_maculatum_Native	13.7483	53.7485
Conium_maculatum_Native	-7.31676	53.81255
Conium_maculatum_Native	13.7483	53.8485
Conium_maculatum_Native	13.9149	53.8485
Conium_maculatum_Native	-1.01072	53.89689
Conium_maculatum_Native	13.9149	53.9485
Conium_maculatum_Native	14.0816	53.9485
Conium_maculatum_Native	-0.55115	53.98212
Conium_maculatum_Native	11.7486	54.0484
Conium_maculatum_Native	12.0819	54.0484
Conium_maculatum_Native	-3.29919	54.07372
Conium_maculatum_Native	-0.85362	54.07528
Conium_maculatum_Native	11.7486	54.1484
Conium_maculatum_Native	11.9152	54.1484
Conium_maculatum_Native	12.4151	54.1484
Conium_maculatum_Native	-5.93323	54.15617
Conium_maculatum_Native	-0.698	54.16359
Conium_maculatum_Native	12.4151	54.2484
Conium_maculatum_Native	-3.45829	54.25169
Conium_maculatum_Native	-3.30483	54.25345
Conium_maculatum_Native	-3.15136	54.25501
Conium_maculatum_Native	-2.99787	54.25638
Conium_maculatum_Native	-6.38528	54.3428
Conium_maculatum_Native	-2.84621	54.34742
Conium_maculatum_Native	-2.69237	54.3484
Conium_maculatum_Native	-7.76928	54.35338
Conium_maculatum_Native	-3.61877	54.42943
Conium_maculatum_Native	-3.46466	54.43139
Conium_maculatum_Native	-6.68989	54.43634
Conium_maculatum_Native	-2.5397	54.43907
Conium_maculatum_Native	-6.5326	54.52439
Conium_maculatum_Native	-2.69541	54.52815
Conium_maculatum_Native	-3.16148	54.61446
Conium_maculatum_Native	-5.59598	54.68913
Conium_maculatum_Native	-3.62949	54.69895
Conium_maculatum_Native	-3.47436	54.70094
Conium_maculatum_Native	-3.00887	54.70571
Conium_maculatum_Native	-5.74596	54.78187
Conium_maculatum_Native	-6.52285	54.79382
Conium_maculatum_Native	-2.07796	54.88963
Conium_maculatum_Native	-6.04799	54.96682
Conium_maculatum_Native	-4.26989	55.04824
Conium_maculatum_Native	-6.66943	55.06505
Conium_maculatum_Native	-2.39153	55.06877
Conium_maculatum_Native	-6.82329	55.15648
Conium_maculatum_Native	-2.23545	55.15905
Conium_maculatum_Native	-6.34908	55.24082
Conium_maculatum_Native	-3.19051	55.60283
Conium_maculatum_Native	-4.47641	55.85327
Conium_maculatum_Native	-3.5183	55.86883
Conium_maculatum_Native	-4.64209	55.93972
Conium_maculatum_Native	-3.68193	55.95657
